"filename", "language", "pip requirements", "JSON with Comments", "Python", "JSON", "Log", "CSV", "Markdown", "comment", "blank", "total"
"c:\Users\Admin\Desktop\COS30019---Intro-to-AI\Assignment_2B\.VSCodeCounter\2025-05-06_11-38-07\diff.csv", "CSV", 0, 0, 0, 0, 0, 78, 0, 0, 0, 78
"c:\Users\Admin\Desktop\COS30019---Intro-to-AI\Assignment_2B\.VSCodeCounter\2025-05-06_11-38-07\diff.md", "Markdown", 0, 0, 0, 0, 0, 0, 78, 0, 7, 85
"c:\Users\Admin\Desktop\COS30019---Intro-to-AI\Assignment_2B\.VSCodeCounter\2025-05-06_11-38-07\results.csv", "CSV", 0, 0, 0, 0, 0, 40, 0, 0, 0, 40
"c:\Users\Admin\Desktop\COS30019---Intro-to-AI\Assignment_2B\.VSCodeCounter\2025-05-06_11-38-07\results.json", "JSON", 0, 0, 0, 1, 0, 0, 0, 0, 0, 1
"c:\Users\Admin\Desktop\COS30019---Intro-to-AI\Assignment_2B\.VSCodeCounter\2025-05-06_11-38-07\results.md", "Markdown", 0, 0, 0, 0, 0, 0, 42, 0, 7, 49
"c:\Users\Admin\Desktop\COS30019---Intro-to-AI\Assignment_2B\data_preprocessing.ipynb", "JSON", 0, 0, 0, 419, 0, 0, 0, 0, 1, 420
"c:\Users\Admin\Desktop\COS30019---Intro-to-AI\Assignment_2B\predict_missing_dates.ipynb", "JSON", 0, 0, 0, 667, 0, 0, 0, 0, 1, 668
"c:\Users\Admin\Desktop\COS30019---Intro-to-AI\Assignment_2B\processed_data\complete_csv_oct_nov_2006\cnn_lstm_model\cnn_lstm_model_complete_data.csv", "CSV", 0, 0, 0, 0, 0, 802273, 0, 0, 1, 802274
"c:\Users\Admin\Desktop\COS30019---Intro-to-AI\Assignment_2B\processed_data\complete_csv_oct_nov_2006\gru_model\gru_model_complete_data.csv", "CSV", 0, 0, 0, 0, 0, 802273, 0, 0, 1, 802274
"c:\Users\Admin\Desktop\COS30019---Intro-to-AI\Assignment_2B\processed_data\complete_csv_oct_nov_2006\lstm_model\lstm_model_complete_data.csv", "CSV", 0, 0, 0, 0, 0, 802273, 0, 0, 1, 802274
"c:\Users\Admin\Desktop\COS30019---Intro-to-AI\Assignment_2B\processed_data\preprocessed_data\cleaned_data.csv", "CSV", 0, 0, 0, 0, 0, 396289, 0, 0, 1, 396290
